quadratName,startX,startY,dimensionX,dimensionY
Q0001,20,20,20,20
Q0002,40,20,20,20
Q0003,60,20,20,20
Q0004,80,20,20,20
Q0005,100,20,20,20
Q0006,20,40,20,20
Q0007,40,40,20,20
Q0008,60,40,20,20
Q0009,80,40,20,20
Q0010,100,40,20,20
Q0011,20,60,20,20
Q0012,40,60,20,20
Q0013,60,60,20,20
Q0014,80,60,20,20
Q0015,100,60,20,20
Q0016,20,80,20,20
Q0017,40,80,20,20
Q0018,60,80,20,20
Q0019,80,80,20,20
Q0020,100,80,20,20
Q0021,20,100,20,20
Q0022,40,100,20,20
Q0023,60,100,20,20
Q0024,80,100,20,20
Q0025,100,100,20,20
